"DOWNLOAD_COUNT","ID","TITLE"
"39513","25344","The Scarlet Letter"
"22149","174","The Picture of Dorian Gray"
"17759","98","A Tale of Two Cities"
"14496","205","Walden, and On The Duty Of Civil Disobedience"
"10874","2600","War and Peace"
"10777","41","The Legend of Sleepy Hollow"
"9143","1184","The Count of Monte Cristo, Illustrated"
"8879","45","Anne of Green Gables"
"5866","42884","The Philippine Islands, 1493-1898, Volume 33, 1519-1522: Explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the close of the nineteenth century"
"5407","236","The Jungle Book"
"4770","20228","Noli Me Tangere"
"4616","600","Notes from the Underground"
"4499","6737","The Social Cancer: A Complete English Version of Noli Me Tangere"
"3876","10676","The Reign of Greed"
"3855","7142","The History of the Peloponnesian War"
"3781","45631","Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853, from a Cotton Plantation near the Red River in Louisiana"
"3708","25717","The History of the Decline and Fall of the Roman Empire: Table of Contents with links in the HTML file to the two Project Gutenberg editions (12 volumes)"
"3698","375","An Occurrence at Owl Creek Bridge"
"3510","23700","The Decameron of Giovanni Boccaccio"
"3304","851","Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson"
"3004","2610","Notre-Dame de Paris"
"2872","26","Paradise Lost"
"2802","376","A Journal of the Plague Year: Being Observations or Memorials of the Most Remarkable Occurrences, as Well Public as Private, Which Happened in London During the Last Great Visitation in 1665. Written by a Citizen Who Continued All the While in London"
"2646","26272","The Spy"
"2574","73","The Red Badge of Courage: An Episode of the American Civil War"
"2462","1254","Cyrano de Bergerac"
"2318","4367","Personal Memoirs of U. S. Grant, Complete"
"2199","38269","A History of the Philippines"
"2177","1257","The Three Musketeers"
"2127","13701","The Philippine Islands, 1493-1898 â€” Volume 07 of 55: 1588-1591; Explorations by Early Navigators, Descriptions of the Islands and Their Peoples, Their History and Records of the Catholic Missions, as Related in Contemporaneous Books and Manuscripts, Showing the Political, Economic, Commercial and Religious Conditions of Those Islands from Their Earliest Relations with European Nations to the Close of the Nineteenth Century"
"2030","2850","The Wars of the Jews; Or, The History of the Destruction of Jerusalem"
"2012","3420","A Vindication of the Rights of Woman: With Strictures on Political and Moral Subjects"
